first_name;last_name;last_name_first_name;no_hit;more_than_one_hit;orcid_id;orcid_record_person_identified;orcid_records_works_listed;notes;gender;level;e_name;e_type;e_city;e_region;e_country;source;date_of_input;coder
Lara;Bister;Bister, Lara;FALSCH;FALSCH;0000-0001-5915-757X;WAHR;WAHR;;F;Postdoc;WZB Berlin Social Science Center;Forschungszentrum;Berlin;Berlin;DE;https://cms.wzb.eu/de/personen/lara-bister;24.05.26;Lukas
Jörg;Blasius;Blasius, Jörg;WAHR;FALSCH;;FALSCH;FALSCH;;M;Prof;Universität Bonn;Uni;Bonn;Nordrhein-Westfalen;DE;https://www.uni-bonn.de/de/forschung-lehre/forschungsprofil/transdisziplinaere-forschungsbereiche/tra-4-individuals/mitgliederverzeichnis/joerg-blasius;24.05.26;Lukas
Uwe;Blien;Blien, Uwe;FALSCH;FALSCH;0000-0003-4617-3452;FALSCH;FALSCH;;M;Prof;University of Bamberg;Uni;Bamberg;Bayern;DE;https://www.blien.de/uwe/cv.htm;24.05.26;Lukas
Hans-Peter;Blossfeld;Blossfeld, Hans-Peter;FALSCH;FALSCH;0000-0002-9298-139X;WAHR;FALSCH;ruhestand;M;Prof;University of Bamberg;Uni;Bamberg;Bayern;DE;https://www.uni-bamberg.de/sozungleichheit/team/prof-dr-dr-hans-peter-blossfeld-emeritus-of-excellence/;24.05.26;Lukas
Manuela;Boatca;Boatca, Manuela;FALSCH;FALSCH;0000-0003-1255-9955;WAHR;WAHR;;F;Prof;University of Freiburg;Uni;Freiburg;Baden-Württemberg;DE;https://uni-freiburg.de/soziologie/personen/manuela-boatca/;24.05.26;Lukas
Mara;Boehle;Boehle, Mara;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;Deutschen Vereinigung für Rehabilitation (DVfR);Other;Heidelberg;Baden-Württemberg;DE;https://www.dvfr.de/die-dvfr/geschaeftsstelle;24.05.26;Lukas
Sebastian;Böhm;Böhm, Sebastian;FALSCH;WAHR;;FALSCH;FALSCH;;M;Postdoc;FernUniversität in Hagen;Uni;Hagen;Nordrhein-Westfalen;DE;https://www.fernuni-hagen.de/philosophie/lg2/team/sebastian.boehm.shtml;24.05.26;Lukas
Petra;Böhnke;Böhnke, Petra;FALSCH;FALSCH;0000-0002-6553-1844;FALSCH;FALSCH;;F;Prof;Universität Hamburg;Uni;Hamburg;Hamburg;DE;https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/boehnke/team/01-boehnke-petra.html;24.05.26;Lukas
Lisa;Bonfert;Bonfert, Lisa;FALSCH;FALSCH;0000-0001-7438-3460;WAHR;WAHR;;F;Postdoc;University of Luxembourg;Uni;Luxembourg;Luxembourg;LU;https://www.uni.lu/fhse-en/people/lisa-bonfert/;24.05.26;Lukas
Christiane;Bozoyan;Bozoyan, Christiane;FALSCH;FALSCH;0000-0003-0205-6924;WAHR;WAHR;;F;Postdoc;Ludwig-Maximilians-Universität München;Uni;Munich;Bayern;DE;https://www.soziologie.lmu.de/de/das-institut/personen/kontaktseite/christiane-bozoyan-c8cbed3a.html;24.05.26;Lukas
Kai;Brauer;Brauer, Kai;FALSCH;FALSCH;0000-0001-7895-243X;FALSCH;FALSCH;;M;Prof;Hochschule Neubrandenburg;Hochschule;Neubrandenburg;Mecklenburg-Vorpommern;DE;https://www.hs-nb.de/fachbereich-soziale-arbeit-bildung-und-erziehung/ppages/vita/;24.05.26;Lukas
Helmut;Bremer;Bremer, Helmut;FALSCH;FALSCH;0009-0006-0004-4005;FALSCH;FALSCH;;M;Prof;Universität Duisburg-Essen;Uni;Essen;Nordrhein-Westfalen;DE;https://www.uni-due.de/biwi/politische-bildung/leitung;24.05.26;Lukas
Hilke;Brockmann;Brockmann, Hilke;FALSCH;FALSCH;0000-0002-9551-8333;FALSCH;WAHR;;F;Prof;Constructor University;Hochschule;Bremen;Bremen;DE;https://constructor.university/faculty-member/hilke-brockmann;24.05.26;Lukas
Hanns-Georg;Brose;Brose, Hanns-Georg;WAHR;FALSCH;;FALSCH;FALSCH;verstorben;M;Prof;Universität Duisburg-Essen;Uni;Duisburg;Nordrhein-Westfalen;DE;https://www.uni-due.de/2018-08-27-hanns-georg-brose-verstorben;24.05.26;Lukas
Jan;Brülle;Brülle, Jan;FALSCH;FALSCH;0000-0002-7102-5649;WAHR;WAHR;;M;Postdoc;Bundesinstitut für Bevölkerungsforschung;Forschungszentrum;Wiesbaden;Hessen;DE;https://www.bib.bund.de/DE/Institut/Mitarbeiter/Bruelle/Bruelle.html;24.05.26;Lukas
Martin;Brussig;Brussig, Martin;FALSCH;FALSCH;0000-0003-2608-6853;FALSCH;FALSCH;;M;Prof;Universität Duisburg-Essen;Uni;Duisburg;Nordrhein-Westfalen;DE;https://www.uni-due.de/iaq/personalseite.php?name=brussig&show=info;24.05.26;Lukas
Christian;Brzinsky-Fay;Brzinsky-Fay, Christian;FALSCH;FALSCH;0000-0003-2383-7586;WAHR;WAHR;;M;Postdoc;Universität Hamburg;Uni;Hamburg;Hamburg;DE;https://www.wiso.uni-hamburg.de/fachbereich-sowi/professuren/schnapp/team/brzinsky-christian.html;24.05.26;Lukas
Heinz;Bude;Bude, Heinz;FALSCH;FALSCH;0009-0001-0058-4216;FALSCH;FALSCH;ruhestand;M;Prof;Universität Kassel;Uni;Kassel;Hessen;DE;https://www.uni-kassel.de/fb05/fachgruppen-und-institute/soziologie/fachgebiete/makrosoziologie-1/team?tx_ukpersons_alphabetandteamlist%5Bcid%5D=1023677&tx_ukpersons_alphabetandteamlist%5BpersonFunction%5D=447&cHash=140f4c18c9672895db5e58c363cfa84e;24.05.26;Lukas
Doris;Bühler-Niederberger;Bühler-Niederberger, Doris;FALSCH;FALSCH;0000-0001-6944-947X;WAHR;WAHR;;F;Prof;Bergische Universität Wuppertal;Uni;Wuppertal;Nordrhein-Westfalen;DE;https://embi.uni-wuppertal.de/de/mitarbeiter/zur-person-1/;24.05.26;Lukas
Mareike;Bünning;Bünning, Mareike;FALSCH;FALSCH;0000-0001-9419-5723;WAHR;WAHR;;F;Postdoc;German Centre of Gerontology;Other;Berlin;Berlin;DE;https://www.dza.de/en/about-us/staff/profilpage/buenning-mareike;24.05.26;Lukas
Christoph;Burkhardt;Burkhardt, Christoph;FALSCH;FALSCH;0000-0002-6952-5783;FALSCH;FALSCH;falsche Person!;M;Postdoc;Max Planck Institute for Solar System Research;.;Göttingen;.;DE;https://journals.sagepub.com/doi/10.1177/0958928709104737#tab-contributors;.;Lukas
Nicole;Burzan;Burzan, Nicole;FALSCH;FALSCH;0000-0001-9512-5225;WAHR;WAHR;;F;Prof;TU Dortmund University;Uni;Dortmund;Nordrhein-Westfalen;DE;https://su.sowi.tu-dortmund.de/professur/team/prof-dr-nicole-burzan/;24.05.26;Lukas
Ann-Christin;Bächmann;Bächmann, Ann-Christin;FALSCH;FALSCH;0000-0001-9453-5951 ;WAHR;WAHR;;F;Postdoc;Institut für Arbeitsmarkt- und Berufsforschung (IAB);Forschungszentrum;Nürnberg;Bayern;DE;https://iab.de/mitarbeiter/bächmann-ann-christin/;24.05.26;Lukas
Tanja;Carstensen;Carstensen, Tanja;FALSCH;FALSCH;0000-0003-0088-0856;WAHR;WAHR;;F;Prof;Technischen Universität Chemnitz;Uni;Chemnitz;Sachsen;DE;https://www.tu-chemnitz.de/hsw/soziologie/Professuren/Arbeit_und_Organisation/Team/leitung.php;24.05.26;Lukas
Ursula;Dallinger;Dallinger, Ursula;WAHR;FALSCH;;FALSCH;FALSCH;ruhestand;F;Prof;Universität Trier;Uni;Trier;Rheinland-Pfalz;DE;https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-iv/faecher/soziologie/professuren/sozialpolitik/lehrstuhl/prof-dr-ursula-dallinger;24.05.26;Lukas
Jens S.;Dangschat;Dangschat, Jens S.;FALSCH;FALSCH;0000-0001-5206-0337;WAHR;WAHR;ruhestand;M;Prof;Vienna University of Technology;Uni;Wien;Wien;AT;https://www.tuwien.at/ar/soziologie/ueber-uns/team/emounivprof-mag-rersocoec-drphil-je;24.05.26;Lukas
Christian;Deindl;Deindl, Christian;FALSCH;FALSCH;0000-0002-4935-0381;FALSCH;WAHR;;M;Prof;TU Dortmund University;Uni;Dortmund;Nordrhein-Westfalen;DE;https://fb-deindl.sowi.tu-dortmund.de/forschungsbereich/forschungsbereich/apl-prof-dr-habil-christian-deindl/;24.05.26;Lukas
Hans;Dietrich;Dietrich, Hans;FALSCH;FALSCH;0000-0002-7427-4712;FALSCH;WAHR;;M;Postdoc;Institut für Arbeitsmarkt- und Berufsforschung (IAB);Forschungszentrum;Nürnberg;Bayern;DE;https://doku.iab.de/mitarbeiter/vita_dietrich_engl.pdf;24.05.26;Lukas
Martin;Diewald;Diewald, Martin;FALSCH;FALSCH;0000-0002-9101-1586;FALSCH;WAHR;;M;Prof;University of Bielefeld;Uni;Bielefeld;Nordrhein-Westfalen;DE;https://ekvv.uni-bielefeld.de/pers_publ/publ/PersonDetail.jsp?personId=124110#curriculum_vitae;24.05.26;Lukas
Katrin;Drasch;Drasch, Katrin;FALSCH;FALSCH;0000-0002-0332-3839;WAHR;WAHR;There are non-sociological works (e.g. about canaries) but her main field is sociology;F;Postdoc;FAU Erlangen-Nürnberg;Uni;Erlangen;Bayern;DE;https://www.soziologie.phil.fau.de/drasch/;24.05.26;Lukas
Jascha;Dräger;Dräger, Jascha;FALSCH;FALSCH;0000-0002-3584-1139;WAHR;WAHR;;M;Postdoc;German Institute for Economic Research (DIW);Forschungszentrum;Berlin;Berlin;DE;https://www.diw.de/de/diw_01.c.881111.de/personen/draeger__jascha.html;24.05.26;Lukas
Kai;Dröge;Dröge, Kai;FALSCH;FALSCH;0009-0004-1077-4349;WAHR;WAHR;;M;Postdoc;Lucerne University of Applied Sciences and Arts;Hochschule;Luzern;Luzern;CH;https://www.hslu.ch/de-ch/hochschule-luzern/ueber-uns/personensuche/profile/?pid=823;24.05.26;Lukas
Halil;Duran;Duran, Halil;FALSCH;FALSCH;0009-0001-6639-4079;FALSCH;FALSCH;;M;PhD;GESIS - Leibniz-Institute for the Social Sciences;Forschungszentrum;Mannheim;Baden-Württemberg;DE;https://www.gesis.org/gml/about-gml/forschung/methodische-herausforderungen-bei-der-erfassung-von-armut;24.05.26;Lukas
Falk;Eckert;Eckert, Falk;WAHR;FALSCH;;FALSCH;FALSCH;;M;Postdoc;Forschungsvereinigung Elektrotechnik beim ZVEI;Other;Berlin;Berlin;DE;https://www.linkedin.com/in/dr-falk-eckert-1728bb1b/;24.05.26;Lukas
Martin;Ehlert;Ehlert, Martin;FALSCH;FALSCH;0000-0002-5213-3513;WAHR;WAHR;;M;Prof;Social Science Research Center Berlin (WZB);Forschungszentrum;Berlin;Berlin;DE;https://www.wzb.eu/de/personen/martin-ehlert;24.05.26;Lukas
Jan;Einhoff;Einhoff, Jan;FALSCH;FALSCH;0009-0000-2581-5861;FALSCH;FALSCH;;M;Postdoc;Max Planck Institute for Demographic Research;Forschungszentrum;Rostock;Mecklenburg-Vorpommern;DE;https://www.demogr.mpg.de/de/ueber_uns_6113/mitarbeiter_innen_1899/jan_einhoff_4556/;24.05.26;Lukas
Aladin;El-Mafaalani;El-Mafaalani, Aladin;WAHR;FALSCH;;FALSCH;FALSCH;;M;Prof;TU Dortmund University;Uni;Dortmund;Nordrhein-Westfalen;DE;https://www.tu-dortmund.de/universitaet/neuberufene-professorinnen/prof-aladin-el-mafaalani/;24.05.26;Lukas
Frederike;Esche;Esche, Frederike;FALSCH;FALSCH;0000-0003-1041-5405;WAHR;WAHR;;F;Postdoc;Universität Hamburg;Uni;Hamburg;Hamburg;DE;https://www.linkedin.com/in/frederike-esche-b545758b/;24.05.26;Lukas
Thomas;Faist;Faist, Thomas;FALSCH;FALSCH;0000-0003-3887-0135;WAHR;WAHR;;M;Prof;University of Bielefeld;Uni;Bielefeld;Nordrhein-Westfalen;DE;https://www.uni-bielefeld.de/fakultaeten/soziologie/fakultaet/personen/faist/;24.05.26;Lukas
Sonja;Fehr;Fehr, Sonja;FALSCH;FALSCH;0000-0001-9112-0080;FALSCH;FALSCH;;F;Postdoc;University of Kassel;Uni;Kassel;Hessen;DE;https://www.uni-kassel.de/fb05/fachgruppen-und-institute/soziologie/lehrkraefte-fuer-besondere-aufgaben/dr-sonja-fehr.html;24.05.26;Lukas
Magdalena;Fellner;Fellner, Magdalena;FALSCH;FALSCH;0000-0003-3724-7579;FALSCH;WAHR;;F;Postdoc;University of Kassel;Uni;Kassel;Hessen;DE;https://www.uni-kassel.de/forschung/en/incher/people/team/personensteckbrief.html?tx_ukpersons_personfunctiondetail%5BpersonFunction%5D=1141&cHash=54ea84bef908c459a24986b3e3553532;24.05.26;Lukas
Stefan;Fuchs;Fuchs, Stefan;FALSCH;FALSCH;0009-0003-3872-8996;FALSCH;WAHR;One of them works at the IAB. I am not sure if he is a sociologist or an economist tho.;M;Postdoc;Institute for Employment Research (IAB);Forschungszentrum;Nürnberg;Bayern;DE;https://iab-forum.de/autor/stefan-fuchs/;24.05.26;Lukas
Beat;Fux;Fux, Beat;WAHR;FALSCH;;FALSCH;FALSCH;;M;Prof;Universität Salzburg;Uni;Salzburg;Salzburg;DE;https://www.plus.ac.at/soziologie-und-sozialwissenschaftliche-geographie/soziologie/team/fux-beat/;24.05.26;Lukas
Markus;Gangl;Gangl, Markus;FALSCH;FALSCH;0000-0001-5392-0079;WAHR;WAHR;;M;Prof;Goethe University Frankfurt;Uni;Frankfurt am Main;Hessen;DE;https://www.fb03.uni-frankfurt.de/44509740/Prof__Dr__Markus_Gangl;24.05.26;Lukas
Michael;Gebel;Gebel, Michael;FALSCH;FALSCH;0000-0002-8557-7508;WAHR;WAHR;;M;Prof;Otto-Friedrich-Universität Bamberg;Uni;Bamberg;Bayern;DE;https://www.uni-bamberg.de/empsoz/lehrstuhlteam/prof-dr-michael-gebel/;24.05.26;Lukas
Andreas;Gefken;Gefken, Andreas;WAHR;FALSCH;;FALSCH;FALSCH;;M;NaN;NaN;NaN;NaN;NaN;NaN;https://www.wiso.uni-hamburg.de/en/fachbereich-sozoek/professuren/boehnke/team/former-staff-members.html;24.05.26;Lukas
Rainer;Geißler;Geißler, Rainer;FALSCH;FALSCH;0000-0003-3346-9174;FALSCH;WAHR;ORCID ID is wrong, person now im ruhestand;M;Prof;University of Siegen;Uni;Siegen;Nordrhein-Westfalen;DE;https://www.uni-siegen.de/phil/sozialwissenschaften/personen;24.05.26;Lukas
Jürgen;Gerhards;Gerhards, Jürgen;FALSCH;FALSCH;0000-0001-6078-0879;WAHR;WAHR;;M;Prof;Freie Universität Berlin;Uni;Berlin;Berlin;DE;https://www.polsoz.fu-berlin.de/soziologie/arbeitsbereiche/seniorprofessur/mitarbeiter/lehrstuhlinhaber/juergen_gerhards.html;24.05.26;Lukas
Jean-Yves;Gerlitz;Gerlitz, Jean-Yves;FALSCH;FALSCH;0000-0002-1397-0474;WAHR;WAHR;;M;Postdoc;University of Bremen;Uni;Bremen;Bremen;DE;https://fgz-risc.de/das-forschungsinstitut/personen/details/jean-yves-gerlitz/;24.05.26;Lukas
Johannes;Giesecke;Giesecke, Johannes;FALSCH;FALSCH;0000-0002-6678-5811;WAHR;WAHR;;M;Prof;Humboldt-Universität zu Berlin;Uni;Berlin;Berlin;DE;https://www.sowi.hu-berlin.de/de/lehrbereiche/empisoz/a-z/giesecke;24.05.26;Lukas
Marco;Giesselmann;Giesselmann, Marco;FALSCH;FALSCH;0000-0001-6769-3612;WAHR;WAHR;;M;Prof;Universität Zürich;Uni;Zürich;Zürich;CH;https://www.suz.uzh.ch/de/institut/mitarbeitende/giesselmann.html;24.05.26;Lukas
David;Glauser;Glauser, David;FALSCH;FALSCH;0000-0002-8903-4973;WAHR;WAHR;;M;Prof;FHNW Fachhochschule Nordwestschweiz;Hochschule;Brugg;Aargau;CH;https://www.fhnw.ch/de/ph/ueber-uns/portrait-organisation/personen/david-glauser;24.05.26;Lukas
Jan;Goebel;Goebel, Jan;FALSCH;FALSCH;0000-0002-3243-1935;WAHR;WAHR;;M;Postdoc;Deutsches Institut für Wirtschaftsforschung eV;Forschungszentrum;Berlin;Berlin;DE;https://www.diw.de/de/diw_01.c.10771.de/personen/goebel__jan.html;24.05.26;Lukas
Anna;Goedicke;Goedicke, Anna;WAHR;FALSCH;;FALSCH;FALSCH;;F;NaN;NaN;NaN;NaN;NaN;NaN;https://gepris.dfg.de/gepris/person/1770801;24.05.26;Lukas
Markus;Gottwald;Gottwald, Markus;WAHR;FALSCH;;FALSCH;FALSCH;;M;Prof;Kath. Hochschule NRW;Hochschule;Köln;Nordrhein-Westfalen;DE;https://katho-nrw.de/gottwald-markus-prof-dr;24.05.26;Lukas
Susanne;Götz;Götz, Susanne;FALSCH;FALSCH;0009-0006-0538-2476;WAHR;FALSCH;;F;PhD;PB Consult GmbH;Other;Nürnberg;Bayern;DE;https://www.linkedin.com/in/susanne-götz-676861202/;24.05.26;Lukas
Cornelia;Gresch;Gresch, Cornelia;FALSCH;FALSCH;0000-0001-6665-8313;WAHR;WAHR;;F;Postdoc;Institut zur Qualitätsentwicklung im Bildungswesen an der HU Berlin;Uni;Berlin;Berlin;DE;https://www.lifbi.de/Portals/2/Images/INSIDE/INSIDE_Kurzportraet_02-2022.pdf?ver=MaSRpopv6RNfVme6jfQ6DA%3D%3D;25.05.26;Lukas
Angela;Graf;Graf, Angela;FALSCH;FALSCH;0000-0003-2241-2439;WAHR;WAHR;;F;Postdoc;TUM;Uni;Munich;Bayern;DE;https://www.sts.sot.tum.de/sts/personen/forschende/angela-graf/;25.05.26;Lukas
Natalie;Grimm;Grimm, Natalie;FALSCH;FALSCH;0000-0002-4339-8448;WAHR;FALSCH;Undisplayable ORCID but likely this research assitant;F;Postdoc;Forschungsinstitut Gesellschaftlicher Zusammenhalt (FGZ);Forschungszentrum;Göttingen;Niedersachsen;DE;https://fgz-risc.de/das-forschungsinstitut/personen/details/natalie-grimm/;25.05.26;Lukas
Olaf;Groh-Samberg;Groh-Samberg, Olaf;FALSCH;FALSCH;0000-0001-5745-4466;WAHR;WAHR;;M;Prof;Universität Bremen;Uni;Bremen;Bremen;DE;https://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/gesamtverzeichnis/olaf-groh-samberg/de/;25.05.26;Lukas
Christiane;Gross;Gross, Christiane;FALSCH;FALSCH;0000-0001-7878-4464;WAHR;WAHR;;F;Prof;Julius-Maximilians-Universität Würzburg;Uni;Wurzburg;Bayern;DE;https://www.politikwissenschaft.uni-wuerzburg.de/lehrbereiche/empirische/prof-dr-christiane-gross/;25.05.26;Lukas
Martin;Groß;Groß, Martin;FALSCH;WAHR;;FALSCH;FALSCH;Unclear who? Could also be? https://www.gsi.uni-muenchen.de/personen/wiss_mitarbeiter/gross_martin/index.html;M;Prof;Universität Tübingen;Uni;Tübingen;Baden-Württemberg;DE;https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-sozialwissenschaften/soziologie/institut/personen/prof-dr-martin-gross/;25.05.26;Lukas
Daniela;Grunow;Grunow, Daniela;FALSCH;FALSCH;0000-0003-2427-2919;WAHR;FALSCH;;F;Prof;Goethe University Frankfurt;Uni;Frankfurt am Main;Hessen;DE;https://www.fb03.uni-frankfurt.de/44692678/Prof__Dr__Daniela_Grunow;25.05.26;Lukas
Michael;Grätz;Grätz, Michael;FALSCH;FALSCH;0000-0001-7920-1021;WAHR;WAHR;;M;Prof;University of Lausanne;Uni;Lausanne;Vaud;CH;https://people.unil.ch/michaelgratz/;25.05.26;Lukas
Stefanie;Gundert;Gundert, Stefanie;FALSCH;FALSCH;0000-0001-6815-1815;WAHR;FALSCH;;F;Postdoc;Institut für Arbeitsmarkt- und Berufsforschung (IAB);Forschungszentrum;Nürnberg;Bayern;DE;https://iab.de/mitarbeiter/gundert-stefanie/;25.05.26;Lukas
Tamara;Gutfleisch;Gutfleisch, Tamara;FALSCH;FALSCH;0000-0002-8648-2105;WAHR;WAHR;;F;Postdoc;MZES, Universität Mannheim;Uni;Mannheim;Baden-Württemberg;DE;https://www.sowi.uni-mannheim.de/en/kogan/team/postdocs/gutfleisch-tamara/;25.05.26;Lukas
Isabel;Habicht;Habicht, Isabel;FALSCH;FALSCH;0000-0001-5346-6662;WAHR;WAHR;;F;Postdoc;Bergische Universität Wuppertal;Uni;Wuppertal;Nordrhein-Westfalen;DE;https://isabelhabicht.github.io/cv/;25.05.26;Lukas
Andreas;Hadjar;Hadjar, Andreas;FALSCH;FALSCH;0000-0002-2641-010X;WAHR;WAHR;;M;Prof;Universität Freiburg;Uni;Freiburg;Freiburg;CH;https://www.unifr.ch/directory/de/people/18019/4f0f7;25.05.26;Lukas
Denis;Hänzi;Hänzi, Denis;FALSCH;FALSCH;0009-0005-0120-6734;FALSCH;FALSCH;;M;Postdoc;PH Luzern;Hochschule;Luzern;Luzern;CH;https://www.phlu.ch/denis-haenzi.html;25.05.26;Lukas
Lisa Yashodhara;Haller;Haller, Lisa Yashodhara;FALSCH;FALSCH;0000-0001-5094-207X;FALSCH;WAHR;;F;Prof;Hochschule Neubrandenburg;Hochschule;Neubrandenburg;Mecklenburg-Vorpommern;DE;https://www.hs-nb.de/fachbereich-soziale-arbeit-bildung-und-erziehung/ppages/lisa-yashodhara-haller/;25.05.26;Lukas
Jakob;Hartl;Hartl, Jakob;FALSCH;FALSCH;0000-0001-8888-2703;WAHR;WAHR;;M;Postdoc;Uni Halle;Uni;Halle;Sachsen-Anhalt;DE;https://soziologie.uni-halle.de/professuren/sozialstruktur/hartl/;25.05.26;Lukas
Andreas;Haupt;Haupt, Andreas;FALSCH;FALSCH;0000-0002-6519-362X;WAHR;WAHR;;M;Postdoc;Karlsruhe Institute of Technology;Uni;Karlsruhe;Baden-Württemberg;DE;https://www.soziologie.kit.edu/MitarbeiterInnen_Haupt.php;25.05.26;Lukas
Martin;Heidenreich;Heidenreich, Martin;FALSCH;FALSCH;0000-0002-9509-1667;WAHR;WAHR;;M;Prof;Carl von Ossietzky Universitat Oldenburg Institut für Sozialwissenschaften;Uni;Oldenburg;Niedersachsen;DE;https://uol.de/sozialwissenschaften/emeritipensionaere/prof-dr-martin-heidenreich;25.05.26;Lukas
Isolde;Heintze;Heintze, Isolde;WAHR;FALSCH;;FALSCH;FALSCH;;F;Prof;Hochschule Mittweida;Hochschule;Mittweida;Sachsen;DE;https://www.sw.hs-mittweida.de/professuren/prof-dr-phil-isolde-heintze/;25.05.26;Lukas
Jan Paul;Heisig;Heisig, Jan Paul;FALSCH;FALSCH;0000-0001-8228-1907;WAHR;WAHR;;M;Prof;WZB Berlin Social Science Center;Forschungszentrum;Berlin;Berlin;DE;https://www.wzb.eu/system/files/docs/dsi/hsi/heisig_cv_deu_0.pdf;25.05.26;Lukas
Boris;Heizmann;Heizmann, Boris;FALSCH;FALSCH;0000-0001-5853-9613;FALSCH;FALSCH;;M;Postdoc;GESIS - Leibniz-Institute for the Social Sciences;Forschungszentrum;Mannheim;Baden-Württemberg;DE;https://www.gesis.org/institut/ueber-uns/mitarbeitendenverzeichnis/person/Boris.Heizmann;25.05.26;Lukas
Andrea;Hense;Hense, Andrea;FALSCH;FALSCH;0009-0002-5138-1766;FALSCH;FALSCH;;F;Postdoc;Forschungsinstitut Gesellschaftlicher Zusammenhalt (FGZ);Forschungszentrum;Göttingen;Niedersachsen;DE;https://fgz-risc.de/das-forschungsinstitut/personen/details/andrea-hense;25.05.26;Lukas
Tom;Hensel;Hensel, Tom;FALSCH;FALSCH;0000-0002-0237-1652;FALSCH;WAHR;;M;Postdoc;Technische Universität Braunschweig;Uni;Braunschweig;Niedersachsen;DE;https://www.tu-braunschweig.de/ses/team/hensel;25.05.26;Lukas
Florian R.;Hertel;Hertel, Florian R.;FALSCH;FALSCH;0000-0002-9557-9283;WAHR;WAHR;;M;Prof;Europa-Universität Flensburg;Uni;Flensburg;Schleswig-Holstein;DE;https://www.uni-flensburg.de/sams/wer-wir-sind/sams/florian-hertel;25.05.26;Lukas
Steffen;Hillmert;Hillmert, Steffen;FALSCH;FALSCH;0000-0002-4423-8315;FALSCH;FALSCH;;M;Prof;Universität Tübingen;Uni;Tübingen;Baden-Württemberg;DE;https://uni-tuebingen.de/fakultaeten/wirtschafts-und-sozialwissenschaftliche-fakultaet/faecher/fachbereich-sozialwissenschaften/soziologie/institut/personen/prof-dr-steffen-hillmert/;25.05.26;Lukas
Thomas;Hinz;Hinz, Thomas;FALSCH;WAHR;;FALSCH;FALSCH;;M;Prof;Universität Konstanz;Uni;Konstanz;Baden-Württemberg;DE;https://www.soziologie.uni-konstanz.de/hinz/team/prof-dr-thomas-hinz/;25.05.26;Lukas
Andreas;Hirseland;Hirseland, Andreas;WAHR;FALSCH;;FALSCH;FALSCH;unclear what since 2024;M;NaN;NaN;NaN;NaN;NaN;NaN;https://iab-forum.de/autor/dr-andreas-hirseland/;25.05.26;Lukas
Ronald;Hitzler;Hitzler, Ronald;WAHR;FALSCH;;FALSCH;FALSCH;ruhestand;M;Prof;Technische Universität Dortmund;Uni;Dortmund;Nordrhein-Westfalen;DE;https://sowi.tu-dortmund.de/fakultaet/die-institute-der-fakultaet-sozialwissenschaften/;25.05.26;Lukas
Dirk;Hofäcker;Hofäcker, Dirk;FALSCH;FALSCH;0000-0002-2747-5765;WAHR;WAHR;;M;Prof;Universität Duisburg-Essen;Uni;Essen ;Nordrhein-Westfalen;DE;https://www.uni-due.de/biwi/hofaecker/zurperson.php;25.05.26;Lukas
Rasmus;Hoffmann;Hoffmann, Rasmus;FALSCH;FALSCH;0000-0002-9007-3144;WAHR;WAHR;;M;Prof;Universität Bamberg;Uni;Bamberg;Bayern;DE;https://www.uni-bamberg.de/sozungleichheit/prof-dr-rasmus-hoffmann/;25.05.26;Lukas
Christian;Hohendanner;Hohendanner, Christian;FALSCH;FALSCH;0000-0003-0717-2000;WAHR;WAHR;;M;Postdoc;Institute for Employment Research;Forschungszentrum;Nürnberg;Bayern;DE;https://iab.de/mitarbeiter/hohendanner-christian/;25.05.26;Lukas
Stefanie;Hoherz;Hoherz, Stefanie;FALSCH;FALSCH;0000-0003-4790-4771;WAHR;WAHR;;F;Postdoc;Federal Institute for Population Research;Forschungszentrum;Wiesbaden;Hessen;DE;https://www.bib.bund.de/DE/Institut/Mitarbeiter/Hoherz/Hoherz.html;25.05.26;Lukas
Anke;Höhne;Höhne, Anke;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;Deutsche Gesellschaft für Systemische Therapie, Beratung und Familientherapie e. V.;Other;Köln;Nordrhein-Westfalen;DE;https://dgsf.org/Members/DGSF--08211/dr-anke-hoehne;25.05.26;Lukas
Betina;Hollstein;Hollstein, Betina;FALSCH;FALSCH;0000-0003-0219-6265;WAHR;WAHR;;F;Prof;University of Bremen;Uni;Bremen;Bremen;DE;https://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/betina-hollstein/lebenslauf/;25.05.26;Lukas
Dieter;Holtmann;Holtmann, Dieter;WAHR;FALSCH;;FALSCH;FALSCH;ruhestand;M;Prof;University of Potsdam;Uni;Potsdam;Brandenburg;DE;https://www.uni-potsdam.de/de/wiso/fakultaet/professuren/ehemalige-hochschullehrerinnen;25.05.26;Lukas
Carola;Hommerich-Horiko;Hommerich-Horiko, Carola;FALSCH;FALSCH;0000-0002-1724-877X;WAHR;WAHR;;F;Prof;Sophia University;Uni;Tokyo;Tokyo;JP;https://spsf.sophia.ac.jp/faculty/hommerich-carola;25.05.26;Lukas
