first_name;last_name;last_name_first_name;no_hit;more_than_one_hit;orcid_id;orcid_record_person_identified;orcid_records_works_listed;notes;gender;level;e_name;e_type;e_city;e_region;e_country;source;date_of_input;coder
Reinhard;Schunck;Schunck, Reinhard;FALSCH;FALSCH;0000-0002-8185-8919;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Jürgen;Schupp;Schupp, Jürgen;FALSCH;FALSCH;0000-0001-5273-643X;WAHR;WAHR;;M;.;German Institute for Economic Research;.;Berlin;Berlin;DE;.;.;.
Petra;Schütt;Schütt, Petra;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Thomas;Schwinn;Schwinn, Thomas;FALSCH;FALSCH;0009-0007-2387-2150;WAHR;FALSCH;;M;Prof;Heidelberg University;.;Heidelberg;Baden-Württemberg;DE;.;.;.
Marco;Seegers;Seegers, Marco;FALSCH;FALSCH;0000-0002-0934-2707;WAHR;WAHR;;M;.;Federal Institute for Vocational Education and Training;.;Bonn;.;DE;.;.;.
Holger;Seibert;Seibert, Holger;FALSCH;FALSCH;0009-0006-0661-8073;WAHR;FALSCH;;M;.;Institut für Arbeitsmarkt und Berufsforschung;.;Nürnberg;Bayern;DE;.;.;.
Julia;Simonson;Simonson, Julia;FALSCH;FALSCH;0000-0001-8078-7189;WAHR;WAHR;;F;.;German Centre of Gerontology;.;Berlin;.;DE;.;.;.
Michaela;Sixt;Sixt, Michaela;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Janina;Söhn;Söhn, Janina;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Heike;Solga;Solga, Heike;FALSCH;FALSCH;0000-0002-1589-4380;WAHR;WAHR;;F;Prof;Wissenschaftszentrum Berlin für Sozialforschung;.;Berlin;Berlin;DE;.;.;.
Ilka;Sommer;Sommer, Ilka;FALSCH;FALSCH;0000-0002-4595-3724;WAHR;FALSCH;;F;.;.;.;.;.;.;.;.;.
Regina;Soremski;Soremski, Regina;FALSCH;FALSCH;0009-0008-2861-3462;WAHR;WAHR;;F;.;University of Giessen;.;Giessen;Hessen;DE;.;.;.
Frank;Sowa;Sowa, Frank;FALSCH;FALSCH;0000-0002-5457-1963;WAHR;WAHR;;M;Prof;Technische Hochschule Nürnberg Georg Simon Ohm;.;Nurnberg;Bayern;DE;.;.;.
Dorothee;Spannagel;Spannagel, Dorothee;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Sarah;Speck;Speck, Sarah;FALSCH;WAHR;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
